PrefLabel,AltLabels,Domain,TermType,Definition,ScopeNote,Source,Examples,Parents,TermIRI
absorbance (quality),absorbance,aft,quality,Absorbance is the logarithm of the ratio of intensities of electromagnetic radiation on both sides of a medium that the radiation passes through. Lambert-Beer's law states that absorbance is equal to the product of molar coefficient of absorbance of an absorbing compound in a medium times its concentration in the medium times path length of the electromagnetic radiation passing through the medium. [Allotrope],,"PAC, 1990, 62, 2167 (Glossary of atmospheric chemistry terms (Recommendations 1990))",,optical quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000061
absorbance (quality),absorbance,aft,quality,Absorbance is the logarithm of the ratio of intensities of electromagnetic radiation on both sides of a medium that the radiation passes through. Lambert-Beer's law states that absorbance is equal to the product of molar coefficient of absorbance of an absorbing compound in a medium times its concentration in the medium times path length of the electromagnetic radiation passing through the medium. [Allotrope],,"PAC, 1996, 68, 2223 (Glossary of terms used in photochemistry (IUPAC Recommendations 1996))",,optical quality,http://purl.allotrope.org/ontologies/quality#AFQ_0000061
absorbance process profile,absorbance profile,afo,process,An absorbance process profile is a profile that quantifies the absorbance of a material entity over time. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003847
absorbance unit,,qudt-ext,"",A commonly used abstraction for dimensionless absorbance measurements.,,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#AbsorbanceUnit
absorption profile,,afo,result,An absorption profile is a profile that quantifies the optical spectrometry absorbance of a material entity over time. [Allotrope],,,,profile,http://purl.allotrope.org/ontologies/result#AFR_0002962
absorption profile data cube,,afo,result,An absorption profile data cube is a data cube that represents an absorption profile. [Allotrope],,,,data cube,http://purl.allotrope.org/ontologies/result#AFR_0002963
absorption spectrum,absorbance spectrum; absorbance spectra; absorption spectra,afo,result,An absorption spectrum is a data distribution function that plots the absorption of radiance as the function of frequency or wavelength. [Wikipedia],,https://en.wikipedia.org/wiki/Absorption_spectroscopy,,spectrum,http://purl.allotrope.org/ontologies/result#AFR_0000222
absorption spectrum data cube,,afo,result,An absorption spectrum data cube is a data cube that represents an absorption spectrum. [Allotrope],,,,data cube,http://purl.allotrope.org/ontologies/result#AFR_0002283
accomplishment,,aft,process,A non-cumulative process (event) that is non-atomic. [DOLCE],,http://www.loa.istc.cnr.it/old/Papers/D18.pdf,leaving a place,,http://purl.allotrope.org/ontologies/process#AFP_0003371
account,,organization,result,An account describes authority and authorization to access resources on a system. [Allotrope],,,,facet,http://purl.allotrope.org/ontologies/result#AFR_0001483
account identifier,username; user name; user identifier; user id; account id; account ID; user ID,organization,result,"An account identifier is an identifier, that identifies an account in a system that people or other systems use to access it. [Allotrope]",,,,identifier,http://purl.allotrope.org/ontologies/result#AFR_0002770
acetylene (molecule),,molecular-scale,"","A compound consisting of two trivalently-bonded carbon atoms, each bonded to a hydrogen atom. [Allotrope]",,,,molecule,http://purl.obolibrary.org/obo/CHEBI_27518
acetylene gas,acetylene,afo,material,Acetylene gas is a gas that is composed of acetylene molecules. [Allotrope],,,,gas,http://purl.allotrope.org/ontologies/material#AFM_0001128
achievement,,aft,process,A process boundary based on some physical characteristics at the start or end of some process changing these characteristics. [Allotrope],,http://www.loa.istc.cnr.it/old/Papers/D18.pdf,,,http://purl.allotrope.org/ontologies/process#AFP_0003370
acicular particle shape,acicular; needle particle shape; needle,optical-microscopy,quality,An acicular particle shape is a shape of particle with similar small height and width and large length. [Allotrope],Acicular particles are needle-like.,,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000298
acid-base titration,acid/base titration,titration,process,"Acid-base titration is the process of determining the quantity of a sample (an acid or base) by adding measured increments of a titrant (a base or acid) until the endpoint, at which essentially all of the sample has reacted, is reached. [CHMO]",,,,,http://purl.allotrope.org/ontologies/process#AFP_0001510
acidity (hydrophobic subtraction),,chromatography,result,An acidity is a quality quantification facet that quantifies the acidity of a chromatographic stationary phase. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003040
acoustic emission spectrum,acoustic emission spectra,aft,result,A plot of decibels  vs. frequency obtained by measuring the amount of noise generated by a sample as a function of frequency of incident radiation. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000325
acoustic quality,,aft,quality,Property that inheres in an independent continuant having to do with sound or hearing. [NCI],,,,,http://purl.allotrope.org/ontologies/quality#AFQ_0000138
acquisition time,,aft,result,The acquisition time is the time when a signal is captured. [Allotrope],,,,time,http://purl.allotrope.org/ontologies/result#AFR_0001158
acquisition volume,,chromatography,result,The acquisition volume is the volume elapsed through the chromatography column between the injection of the sample and when the signal is captured. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002522
action,task,aft,realizable,An action is a unit element in a procedure and is a concretization of an action specification. [Allotrope],,,,plan,http://purl.allotrope.org/ontologies/realizable#AFRE_0000001
action specification,command; instruction,aft,result,A directive information entity that describes an action the bearer will take. [IAO],,,,specification,http://purl.allotrope.org/ontologies/result#AFR_0000941
action spectrum,action spectra,aft,result,A plot of a relative biological or chemical photoresponse per number of incident photons against wavelength or energy of radiation under the same radiant power of light. [CHMO],,,,data distribution function,http://purl.allotrope.org/ontologies/result#AFR_0000319
action time,,afo,result,An action time is the time when some action was performed. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003143
action type,,afo,result,An action type is a classification datum that classifies some action. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0003142
active pharmaceutical ingredient role,active pharmaceutical ingredient; API; drug substance; drug substance role,aft,role,"The role of a material in a drug product that is biologically active when interacting with other components of the drug product, other potential drug products, or the chemistry of the body into which the drug will be applied. [Allotrope]",,,,formulation role,http://purl.allotrope.org/ontologies/role#AFRL_0000351
activity,,aft,process,"An activity is a process that is cumulative but not homomeric. [Allotrope, DOLCE]",,,,,http://purl.allotrope.org/ontologies/process#AFP_0003620
activity content unit,,qudt-ext,"",A measure of activity divided by mass of a radioactive material. [Allotrope],,,,,http://purl.allotrope.org/ontology/qudt-ext/schema#ActivityContentUnit
actual P/P0 result,,dynamic-vapor-sorption,result,An actual P/P0 result is a quality quantification facet that quantifies the relative pressure of the sample. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002147
actual datum,actual value; observed value,aft,role,A actual value is the contextual role of an information content entity that is the direct or indirect output of some observation and describes some quality. [Allotrope],,,,descriptive purpose,http://purl.allotrope.org/ontologies/role#AFRL_0000080
actuating,activating; starting; switching on; turning on,aft,process,"Actuating is the process of commencing the flow of energy, signal, or material in response to an imported control signal. [NIST]",,,,controlling,http://purl.allotrope.org/ontologies/process#AFP_0003360
adding (material),addition; adding; addition (material); material addition,afo,process,Adding is loading material into a container where it is combined with existing material. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003743
addition description,,afo,result,An addition description is a description about the process of adding a reaction component to a reaction. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002298
addition rate process profile,addition rate profile,afo,process,An addition rate process profile is a rate process profile that is an occurrent part of an material addition process. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003741
additive role,additive,aft,role,Additive is a role of material that is added to a mixture in order to achieve a supportive purpose. [Allotrope],,,,synthesis role,http://purl.allotrope.org/ontologies/role#AFRL_0000216
adduct ion role,adduct ion; adduct role; adduct,mass-spectrometry,role,Adduct ion role is the role of an ion formed by the interaction of a precursor ion with one or more atoms or molecules to form an ion containing all the constituent atoms of the precursor ion as well as the additional atoms from the associated atoms or molecules. [IUPAC],,"K. K. Murray, R. K. Boyd, M. N. Eberlin, G. J. Langley, L. Li and Y. Naito, Pure Appl. Chem., 2013, 85, 1515-1609","For example, a Na+ adduct of a molecule (M) that is represented as [M + Na]+.",mass spectrometry role,http://purl.allotrope.org/ontologies/role#AFRL_0000517
adjusted relative retention,,chromatography,result,A relative retention time that quantitates the ratio of the adjusted retention time (corrected for hold-up time) of the peak relative to the adjusted retention time of some reference peak. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0001176
adjusting,adjustment,afo,process,Adjusting is a process of slightly changing something with the purpose to achieve an agreement with a set of specifications. [Allotrope],,,,,http://purl.allotrope.org/ontologies/process#AFP_0003703
adsorbed volume at STP,,bet-analysis,result,An adsorbed volume is a quality quantification facet that denotes the quantity of absorbant calculated to be adsorbed at STP. [Allotrope],,,,,http://purl.allotrope.org/ontologies/result#AFR_0002118
adsorption chromatography,,chromatography,process,Chromatography in which separation is based mainly on differences between the adsorption affinities of the sample components for the surface of an active solid. [CHMO],,,,,http://purl.allotrope.org/ontologies/process#AFP_0001023
